clade_name	ERR1857004	ERR1857005	ERR1857006	ERR1857007	ERR1857008	ERR1857009	ERR1857010	ERR1857011	ERR1857012	ERR1857013	ERR1857014	ERR1857015	ERR1857016	ERR1857017	ERR1857018	ERR1857019	ERR1857020	ERR1857021	ERR1857022	ERR1857023	ERR1857024	ERR1857025	ERR1857026	ERR1857027	ERR1857028	ERR1857029	ERR1857030	ERR1857031	ERR1857032	ERR1857033	ERR1857034	ERR1857035	ERR1857036	ERR1857037	ERR1857038	ERR1857039	ERR1857040	ERR1857041	ERR1857042	ERR1857043	ERR1857044	ERR1857045	ERR1857046	ERR1857047	ERR1857048	ERR1857049	ERR1857050	ERR1857051	ERR1857052	ERR1857053	ERR1857054	ERR1857055	ERR1857056	ERR1857057	ERR1857058	ERR1857059	ERR1857060	ERR1857061	ERR1857062	ERR1857063	ERR1857064	ERR1857065	ERR1857066	ERR1857067	ERR1857068	ERR1857069	ERR1857070	ERR1857071	ERR1857072	ERR1857073	ERR1857074	ERR1857075	ERR1857076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0.68289	0.02421	0.0	0.0	0.22547	0.37036	0.0	0.0	0.03158	0.64193	0.30085	0.0	0.01171	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.08257	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.01428	0.0	0.02003	0.0	0.0	1.2112	0.0	0.0	0.0	0.0	0.0	0.0	1.60363	0.8329	0.0177	0.60626	0.06697	0.0	0.0	1.76261	1.09461	0.0	1.92933	0.00116	0.0	0.0	0.0	0.0	0.35581	0.0	0.0	0.41293	0.0	0.0	0.0	0.0	1.54569	0.0	0.48545	0.0	0.55369	0.69806	1.66293	0.09568	0.00226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens	0.68036	0.00856	0.0	0.0	0.0	0.03094	0.0	0.0	0.45367	0.32488	0.44495	0.24118	1.97801	0.25938	0.0	0.0	0.0	0.01109	0.0	0.0	0.0	0.0564	0.0	0.576	0.0	0.23683	2.67624	1.7864	0.03455	1.23228	0.0	0.0	0.0	1.34807	0.0	0.00441	0.0	0.0	0.0	0.00208	4.30215	2.15914	0.02551	1.85276	0.00208	0.0	0.05569	2.81757	0.04308	0.15333	0.23314	0.00636	0.71447	2.01999	0.0043	0.57608	0.85846	0.0	0.0	0.09059	4.95232	0.01764	0.12178	6.29671	0.19635	0.84014	0.2363	0.00977	1.31796	0.26756	2.6814	0.01232	0.07313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis	0.66348	0.03308	0.50413	0.21784	0.36107	0.2523	0.35588	0.60092	0.15822	0.00526	0.3742	0.03258	0.92762	0.15693	0.0	0.0	0.00983	0.14785	0.37035	0.00755	0.10831	0.08301	0.0009	0.11955	0.46139	0.19255	0.18077	0.11071	1.33901	0.05914	0.08293	9.42312	1.15508	0.02938	1.8194	1.076	0.61016	0.0	1.03272	0.51819	0.04813	0.0	0.15589	0.13411	0.05573	0.03652	0.57774	0.10704	0.28374	0.12963	0.01995	0.45161	0.4365	0.36014	0.36542	0.14649	0.34011	0.22744	0.0	0.35452	0.03489	0.89391	0.83612	0.1488	0.1582	0.77678	0.20245	0.71205	0.1464	0.06209	0.1321	1.22209	0.63416
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_SGB15346	0.64163	0.09839	0.18407	0.42216	0.0921	0.06938	0.79445	0.08593	0.42387	0.46614	0.72659	1.51053	1.20105	0.13586	0.0	0.0	0.0	0.00823	0.1753	0.0	0.60815	0.29007	0.0	0.3436	0.0	0.38404	0.76599	0.33552	0.4694	0.08758	0.1879	0.0	0.0	0.34693	0.84607	0.0	0.0	0.0	0.63529	0.29286	0.07885	1.68174	0.42913	0.75118	0.14862	0.0	0.22368	0.01766	0.36238	0.1027	0.12514	1.31141	0.15568	0.0	0.30186	0.07378	0.21795	0.0	0.0	0.04523	0.32715	0.2019	0.37746	0.17568	0.35381	0.45341	0.3148	0.05475	0.38802	0.05785	0.12475	0.0	0.40273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.63433	0.59944	0.7339	0.21668	0.3234	0.15775	0.0	0.43335	1.08253	0.44275	0.1947	0.1746	1.58557	0.16719	0.21784	0.63871	0.29189	0.24162	0.34085	0.15528	0.11806	0.19964	0.0	0.32485	0.0	0.17629	0.1428	0.11323	0.0	0.11227	0.40577	0.0	1.57082	0.37514	1.07609	0.00117	0.15357	3.29647	1.54128	0.11327	0.08717	0.0092	0.26537	0.47428	0.39778	0.0531	0.29729	0.46646	0.55467	0.14253	0.44836	0.31596	0.55646	0.54836	0.79548	0.21317	0.06132	0.0	0.0	0.4504	0.22069	0.59831	0.63488	0.26366	0.21825	0.99484	0.58095	0.27416	0.27755	0.36197	0.21699	0.58098	0.56304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.62765	0.91488	3.29326	0.0	1.58221	0.0674	0.44382	2.31627	0.74843	1.00719	1.85618	4.11124	0.07367	0.46142	4.85036	0.0	0.6877	0.22888	0.00136	0.56829	1.42456	1.31857	0.0	0.0	0.01523	0.00472	2.81635	0.18661	0.01774	3.73598	0.36423	0.0	0.86043	3.69439	7.51742	0.02113	0.00237	0.29233	0.04224	4.16356	2.86717	0.06524	6.29205	0.22932	1.13881	1.67272	7.20123	0.0061	6.19974	3.49043	1.35479	0.04831	4.24845	5.40897	0.56252	0.85501	2.18358	1.26071	0.17774	2.4505	3.08955	3.64966	1.21086	0.01094	0.76303	0.89791	0.66417	6.37702	0.09266	0.19543	1.03682	0.10733	3.32309
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	0.59255	0.01748	0.43867	0.24998	0.31451	0.5753	0.69182	0.80506	0.40075	0.43843	0.26638	0.20216	0.76701	0.04367	0.37316	1.28028	0.45914	0.7383	0.0	0.32618	0.205	0.1349	0.0	0.07201	0.58174	1.38297	0.13679	0.2077	0.37912	0.14052	0.09812	0.2098	0.37327	0.43007	0.37356	1.73926	0.75791	2.06882	1.46628	0.30772	0.05802	0.12372	0.41622	0.33263	0.26008	0.33328	1.17626	0.36139	1.13636	0.17124	0.98293	0.01662	0.33947	0.21771	0.39242	0.58398	0.11014	0.0	0.48522	0.13823	0.01752	1.2411	0.0	0.42785	0.47022	0.43157	0.14314	0.48977	0.08486	0.09375	0.58271	0.91043	0.90247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106	0.58607	0.0	0.0	0.0	0.0	0.0	0.0	0.08967	0.0	0.35508	0.0076	0.0	0.00521	0.08409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18581	0.0	0.34151	0.0	0.0	0.0	0.15538	0.0	0.0	0.0	0.8416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07951	0.01116	0.0	0.0	0.0	0.0	0.0	0.48687	0.0	0.34178	0.0	0.05752	0.0	0.79323	0.0	0.0	0.0	0.0	0.05511	0.0	0.0	0.0	0.89898	0.0	0.1555	0.0	0.0	0.0	0.61932	0.08609	0.19611	0.00164
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15265	0.57273	0.0	0.0	0.0	0.0	0.17569	0.0	0.0	2.4715	0.0	0.0	0.18572	0.0	0.10317	0.06937	0.0	0.0	0.1493	0.0	0.0	0.38015	0.0	0.0	0.0	0.0	0.0	0.0	0.08671	0.0	0.33892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09193	0.0	0.06389	0.02033	0.00591	0.24854	0.24997	0.0	0.64073	0.93416	0.16789	0.0	0.20039	0.0	0.0	0.0	0.42308	0.0	0.41772	0.0	0.0	0.11972	0.0	0.0	0.0	0.0	0.21376	0.80106	0.35363	0.63777	0.03848	0.23796	0.0	0.47845	0.22992
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.55438	0.77991	0.22877	0.13182	0.21059	0.0	0.24212	0.61687	0.0	0.01463	0.05628	0.41138	0.80147	0.0268	0.0	0.12762	0.194	1.293	0.16921	0.28479	0.32765	0.07416	0.00299	0.16032	0.0	1.34638	0.13005	0.02193	0.17341	0.04269	0.25972	0.0	0.59742	0.41901	0.2845	0.0	0.0	0.0	0.77386	0.24164	0.02799	0.12245	0.05823	0.43242	0.01171	0.16419	0.12379	0.03728	0.11165	0.07068	0.13731	0.53638	0.32788	0.38046	0.09874	0.0	0.05834	0.11827	0.44085	0.27573	0.14439	0.22844	0.15253	0.12457	0.09202	0.13886	0.02571	0.20285	0.05882	0.23129	0.15758	1.19828	0.44814
